150
37.439352 541.209070
612.175951 494.316688
38.131234 353.148458
53.441808 131.484901
143.060636 631.720095
689.945127 468.535500
112.747882 529.417758
141.487587 504.818486
661.051390 445.937518
98.789904 384.592603
697.388170 180.396228
536.489419 287.227909
192.406732 20.439406
282.786526 229.800156
240.825173 281.514144
246.928132 322.461332
649.731322 62.333158
352.965856 666.787310
633.392368 534.939845
488.311799 437.486944
141.403929 228.432555
17.363261 240.240707
397.558645 231.359121
565.785378 282.385875
475.897539 468.539271
322.422457 550.316548
397.558663 74.758839
672.861834 432.882641
571.218968 530.261699
104.653117 482.822477
356.709839 67.647713
400.407026 253.679448
282.303624 426.838050
58.776699 507.171239
189.750622 460.381523
659.912412 226.628416
639.030764 467.230230
415.025836 233.304538
547.266202 161.658928
616.654790 339.340931
494.859243 148.121786
629.998081 433.454816
471.101431 314.221931
138.244051 137.167992
91.584756 110.020301
390.697281 423.977432
565.161783 429.159815
54.524898 438.551541
334.350833 153.796924
531.029102 612.387483
475.734591 385.784462
228.832522 410.446194
578.380535 321.330349
358.917057 404.467035
486.464855 593.042994
343.169371 509.312357
530.362697 137.688128
498.806548 576.210267
224.318272 312.467749
595.836073 81.813005
661.558872 217.045694
43.689205 305.472279
79.465345 445.964174
210.416325 130.715114
432.264229 629.409266
623.248716 69.189285
436.519474 282.935646
59.416327 40.128023
630.923007 230.342989
579.326554 601.035941
117.862451 112.979683
297.791257 166.313189
22.764270 455.534009
259.709581 10.619993
342.357987 599.388018
10.026095 488.931056
315.292606 273.227548
220.704492 270.081975
192.118606 314.183992
271.504272 225.292199
530.732001 504.067016
42.533144 656.364516
396.127479 539.464807
118.663147 508.712910
395.691388 699.537605
559.015711 560.886694
22.647104 526.247039
135.637709 325.840990
141.450701 485.247793
396.774130 460.755712
87.749456 19.617013
350.424564 420.653119
216.701082 466.481641
130.923774 351.149173
72.632986 645.785222
144.600295 457.422428
212.372508 594.921689
49.918679 541.435083
656.694353 558.110959
176.594162 648.523995
500.382520 198.742838
634.317868 612.829164
59.753737 551.632189
15.214577 143.044193
283.005438 376.443953
146.538900 39.423179
101.868561 635.098685
588.196854 580.594698
457.262863 350.016405
537.466368 472.584228
269.366910 367.476364
239.904538 102.629765
88.467750 384.050721
658.913369 583.957518
97.735915 157.455866
506.619138 233.002216
500.256690 64.913639
594.404857 275.874187
66.230815 24.131739
598.416299 414.555757
172.308833 344.396347
299.481285 251.829512
303.837989 21.052606
197.896927 512.388896
56.019957 243.066382
255.556618 448.865188
608.425611 222.542131
70.272270 77.922703
398.229900 119.557657
635.497024 133.322590
378.348456 272.290768
484.802966 677.073038
278.871088 299.930877
381.653730 360.333760
557.607071 595.318509
249.058975 76.659511
562.904879 670.038211
398.550437 392.649326
590.893972 370.741491
558.200800 0.419881
461.411471 530.525497
354.724288 685.404536
193.661130 669.743252
352.314081 140.327332
308.434571 115.205427
299.588137 530.588962
334.274876 152.149457
690.965859 134.579331
48.079812 270.968067
91.646765 166.354116

NON ZERO VARIABLES
x_1_87 = 1.000000
x_1_98 = 1.000000
x_2_19 = 1.000000
x_2_37 = 1.000000
x_3_62 = 1.000000
x_3_113 = 1.000000
x_4_45 = 1.000000
x_4_104 = 1.000000
x_5_97 = 1.000000
x_5_100 = 1.000000
x_6_9 = 1.000000
x_6_28 = 1.000000
x_7_34 = 1.000000
x_7_84 = 1.000000
x_8_84 = 1.000000
x_8_89 = 1.000000
x_9_28 = 1.000000
x_10_94 = 1.000000
x_10_113 = 1.000000
x_11_61 = 1.000000
x_11_148 = 1.000000
x_12_24 = 1.000000
x_12_116 = 1.000000
x_13_74 = 1.000000
x_13_106 = 1.000000
x_14_80 = 1.000000
x_14_122 = 1.000000
x_15_59 = 1.000000
x_15_78 = 1.000000
x_16_59 = 1.000000
x_16_133 = 1.000000
x_17_66 = 1.000000
x_17_130 = 1.000000
x_18_85 = 1.000000
x_18_142 = 1.000000
x_19_99 = 1.000000
x_20_25 = 1.000000
x_20_51 = 1.000000
x_21_125 = 1.000000
x_21_150 = 1.000000
x_22_125 = 1.000000
x_22_149 = 1.000000
x_23_32 = 1.000000
x_23_38 = 1.000000
x_24_118 = 1.000000
x_25_141 = 1.000000
x_26_75 = 1.000000
x_26_146 = 1.000000
x_27_31 = 1.000000
